	5QBDM2ESPNATXXX0494	5QBDM2ESPPOOBXX0490	BR5r-M2-ESP-POO-B-XX-1621	BR5rM2ESPNATXXX1625	MvvQ-M2-ESP-POO-A-XX-1616	MvvQM2ESPNATXXX1620	TZEpM2ESPNATXXX0504	TZEpM2ESPPOOAXX0500
Pyramidobacter.piscolens	1143	904	3436	1424	1611	1084	499	964
Fretibacterium.fastidiosum	961	804	2993	1398	1445	971	501	774
Aminomonas.paucivorans	994	825	3111	1277	1689	933	470	919
Thermanaerovibrio.acidaminovorans	536	504	1715	793	812	539	277	519
Thermanaerovibrio.velox	279	264	809	335	382	272	0	247
Cloacibacillus.porcorum	800	707	2726	1218	1299	899	359	705
Jonquetella.anthropi	463	437	1566	605	892	474	237	460
Acetomicrobium.mobile	102	119	384	145	173	102	0	129
Candidatus.Nanosynbacter.featherlites	474	0	282	0	0	0	0	472
Candidatus.Saccharimonas.aalborgensis	371	399	285	0	269	0	0	341
Candidatus.Bipolaricaulis.anaerobius	1021	822	3361	1295	1613	989	415	856
Thermotoga.caldifontis	436	423	1430	419	714	351	0	394
Thermovibrio.ammonificans	209	162	648	221	286	185	0	170
Thermosulfurimonas.marina	309	331	1109	394	622	319	155	296
Thermosulfuriphilus.ammonigenes	130	124	551	162	256	129	0	133
Desulfurispirillum.indicum	502	641	2102	765	955	622	366	616
Geovibrio.thiophilus	155	145	500	182	301	158	0	164
Caldithrix.abyssi	281	474	1476	415	756	365	187	436
Fusarium.acuminatum	2702	6186	18448	3994	11741	4837	2066	8106
Fusarium.avenaceum	381	294	1142	474	546	353	137	310
Fusarium.longipes	350	591	1302	538	492	308	146	715
Fusarium.poae	370	427	1359	428	517	414	291	532
Fusarium.sporotrichioides	273	395	1051	458	438	303	0	468
Fusarium.sambucinum	239	360	897	281	411	237	0	447
Fusarium.venenatum	424	472	1423	529	628	354	0	492
Fusarium.pseudograminearum	219	375	955	435	451	309	0	350
Fusarium.graminearum	799	465	1523	713	610	458	0	532
Fusarium.culmorum	179	254	806	313	356	230	0	261
Fusarium.fujikuroi	387	1359	18437	421	895	327	128	1691
Fusarium.nygamai	464	2877	3326	2067	1914	907	223	1640
Fusarium.pseudonygamai	366	295	1295	390	435	330	0	253
Fusarium.thapsinum	328	292	1164	359	401	304	0	231
Fusarium.decemcellulare	1125	976	2978	1229	1382	1062	375	736
Fusarium.equiseti	350	750	1032	679	478	1004	144	1857
Fusarium.scirpi	346	724	1167	635	595	947	168	1992
Fusarium.heterosporum	351	295	1104	473	562	321	131	248
Fusarium.graminum	323	340	1083	409	492	339	127	267
Fusarium.nelsonii	355	301	1096	435	439	322	142	385
Fusarium.chlamydosporum	292	265	1046	335	409	291	0	599
Fusarium.oxysporum	829	1714	5115	1281	1410	1017	1018	1012
Fusarium.lateritium	513	469	1709	681	848	589	168	436
Fusarium.dimerum	506	421	1504	598	679	497	167	424
Trichoderma.reesei	1283	858	3049	1403	1292	1258	495	880
Trichoderma.citrinoviride	1468	877	3063	1557	1399	1565	548	956
Trichoderma.pleuroti	968	658	2090	1041	907	983	411	630
Trichoderma.asperellum	640	367	1385	630	635	511	209	624
Trichoderma.atroviride	872	620	1645	811	750	827	323	606
Trichoderma.hamatum	531	387	1386	502	615	541	208	386
Trichoderma.gamsii	720	427	1281	640	518	608	215	490
Trichoderma.afroharzianum	871	1864	1373	712	602	877	338	577
Trichoderma.erinaceum	598	645	1415	553	773	518	180	637
Trichoderma.koningiopsis	568	377	1189	608	534	610	253	444
Trichoderma.harzianum	707	486	1216	621	467	742	0	424
Beauveria.felina	1819	1210	4968	2368	2250	1760	674	1274
Beauveria.pseudobassiana	1073	1050	3408	1393	1735	1129	390	903
Beauveria.brongniartii	948	630	2754	1336	1111	944	343	626
Beauveria.rudraprayagi	981	722	2647	1368	1306	888	382	720
Beauveria.bassiana	940	534	2465	1169	1105	1012	339	555
Cordyceps.fumosorosea	2973	1898	8122	4184	3912	3128	1107	1971
Metarhizium.album	1254	1447	3822	1631	1613	1290	492	1996
Metarhizium.rileyi	963	668	2532	1014	1119	800	289	617
Metarhizium.acridum	705	588	1928	872	832	657	303	583
Metarhizium.guizhouense	568	811	2652	772	1615	773	575	736
Metarhizium.majus	454	279	1251	559	513	472	0	313
Metarhizium.humberi	437	292	1221	580	528	544	0	203
Metarhizium.anisopliae	534	532	1634	683	701	451	0	427
Metarhizium.robertsii	364	224	944	453	418	344	0	229
Metarhizium.brunneum	387	459	1255	611	567	448	0	582
Ustilaginoidea.virens	1757	1322	4942	2251	2230	1651	722	1236
Pochonia.chlamydosporia	561	450	1625	708	725	534	185	403
Purpureocillium.lilacinum	3282	2317	9319	4260	4232	3412	1202	2248
Drechmeria.coniospora	2428	1696	7069	3413	3129	2569	895	1631
Clonostachys.rosea	1362	900	3614	1648	1616	1226	464	868
Colletotrichum.higginsianum	3757	2661	10474	5036	4612	3855	1550	2616
Thermothielavioides.terrestris	4792	4114	13479	5739	5294	4252	1586	3945
Thermothelomyces.thermophilus	3701	3442	10469	4454	3874	3142	1183	3159
Neurospora.crassa	1120	1272	3816	1489	1483	1317	648	1304
Pyricularia.oryzae	1712	1088	4399	2015	2036	1659	618	1054
Pyricularia.pennisetigena	1523	990	4085	1948	1890	1497	565	896
Pyricularia.grisea	1032	748	3100	1452	1353	1084	436	718
Neopestalotiopsis.rosae	1036	810	2829	1416	1339	1080	342	798
Neopestalotiopsis.clavispora	808	667	2583	1031	1149	844	360	551
Botrytis.cinerea	311	412	1356	404	664	331	149	370
Aspergillus.chevalieri	6717	397	1375	1162	1775	487	182	410
Aspergillus.oryzae	3283	0	794	1028	0	0	0	0
Aspergillus.flavus	1704	0	655	1382	0	0	0	0
Aspergillus.luchuensis	4131	23549	2443	2498	991	1022	401	5240
Aspergillus.fumigatus	3219	479	1685	935	787	807	819	451
Aspergillus.puulaauensis	1952	441	1811	1027	829	655	216	447
Penicillium.citrinum	1067	362	1060	420	525	394	167	412
Penicillium.chrysogenum	1058	292	1253	551	519	398	145	321
Penicillium.aurantiogriseum	1008	294	1182	502	595	399	167	317
Penicillium.expansum	847	301	1042	487	484	360	149	278
Penicillium.italicum	691	245	964	374	417	294	138	232
Penicillium.digitatum	597	203	796	287	328	212	0	158
Paecilomyces.niveus	987	330	1333	544	573	428	174	313
Paecilomyces.variotii	1011	349	1398	572	694	428	172	363
Talaromyces.rugulosus	857	471	1689	642	701	500	219	383
Paraphaeosphaeria.minitans	1495	1481	4962	2092	2175	1673	633	1382
Ampelomyces.quisqualis	951	1340	3473	1228	1320	1038	357	1056
Zymoseptoria.tritici	796	650	2390	1058	1060	882	328	674
Cercospora.beticola	587	452	1848	824	799	635	247	505
Eremothecium.gossypii	751	668	2105	1112	1024	779	359	624
Lachancea.thermotolerans	236	163	721	362	304	264	111	182
Kazachstania.naganishii	142	112	423	182	193	145	0	0
Torulaspora.globosa	121	0	360	159	177	104	0	0
Candida.dubliniensis	177	180	546	121	250	129	0	137
Ogataea.parapolymorpha	186	136	667	250	290	174	0	140
Yarrowia.lipolytica	337	280	1012	388	478	351	132	261
Sugiyamaella.lignohabitans	163	178	614	212	237	141	0	141
Pseudozyma.flocculosa	4762	3035	13219	6704	6294	5010	1922	3006
Sporisorium.graminicola	1100	823	3206	1402	1571	1090	453	814
Ustilago.maydis	680	821	2961	1035	1237	727	378	638
Malassezia.restricta	488	353	1336	662	687	495	199	338
Phlebiopsis.gigantea	1605	1057	4612	2314	2220	1812	628	990
Rhizoctonia.solani	296	359	1174	393	501	305	111	550
Marasmius.oreades	285	264	893	316	393	269	129	328
Cryptococcus.neoformans	369	253	1139	439	487	324	140	233
Cryptococcus.gattii.VGI	246	176	623	302	312	231	0	0
Phytophthora.cinnamomi	3671	2380	10617	5208	4750	3792	1404	2354
Phytophthora.fragariae	2691	1829	7944	3860	3666	2883	1094	1777
Phytophthora.cryptogea	1892	1319	4538	2042	2168	1508	508	1186
Phytophthora.infestans	2590	2178	8217	3242	3929	2623	1267	2173
Phytophthora.cactorum	1134	733	3413	1519	1606	1137	416	784
Phytophthora.boehmeriae	790	592	2631	1125	1153	880	368	541
Phytophthora.parasitica	760	531	2264	1045	1058	761	301	451
Pythium.aphanidermatum	1186	892	3535	1628	1621	1200	443	806
Hirschia.baltica	0	115	228	0	159	0	0	0
Turicimonas.muris	0	152	401	107	141	0	0	121
Methylotenera.mobilis	0	118	308	0	126	0	0	136
Deefgea.sp..D17	0	174	517	149	188	0	0	191
Deefgea.sp..D13	0	132	380	135	185	0	0	0
Neisseria.sp..ZJ785	0	120	384	0	159	0	0	144
Pseudomonas.sp..C27.2019.	0	139	340	0	169	0	0	170
Pseudomonas.coronafaciens	0	343	1100	299	657	0	0	604
Pseudomonas.syringae.group.genomosp..3	0	2369	5848	2813	1669	0	0	0
Thiopseudomonas.alkaliphila	0	130	308	0	123	0	0	0
Enterobacter.kobei	0	1411	3661	1500	1856	1109	0	0
Leclercia.sp..J807	0	427	462	0	0	0	0	0
Leclercia.sp..W17	0	540	504	0	0	0	0	0
Leclercia.sp..W6	0	365	469	0	0	0	0	0
Citrobacter.werkmanii	0	478	984	387	458	0	0	0
Cronobacter.muytjensii	0	1487	954	0	578	0	0	0
Cronobacter.sp..JZ38	0	1184	1005	506	0	0	0	0
Candidatus.Erwinia.haradaeae	0	134	398	107	158	0	0	110
X.Pantoea..beijingensis	0	129	352	131	194	0	0	0
Yersinia.ruckeri	0	141	370	150	177	0	0	133
Pectobacterium.punjabense	0	130	362	133	155	0	0	135
Providencia.sp..R33	0	212	129	0	0	0	0	151
Providencia.alcalifaciens	0	166	420	143	204	0	0	0
Xenorhabdus.doucetiae	0	130	379	119	158	0	0	129
Rheinheimera.mangrovi	0	125	330	0	130	0	0	139
Halomonas.sp..TD01	0	167	507	167	226	0	0	235
Halomonas.venusta	0	235	698	266	328	248	0	286
Thalassolituus.oleivorans	0	148	446	135	186	0	0	192
Amphritea.japonica	0	135	351	118	136	111	0	136
Methylobacter.sp..S3L5C	0	161	442	110	193	105	0	156
Teredinibacter.purpureus	0	115	288	0	130	0	0	145
Saccharophagus.degradans	0	116	327	109	131	0	0	191
Marinagarivorans.sp..GE09	0	112	346	131	201	0	0	163
Shewanella.sp..FJAT.53555	0	642	630	673	395	560	0	0
Shewanella.yunxiaonensis	0	137	397	133	139	0	0	131
Shewanella.dokdonensis	0	127	339	116	147	0	0	0
Salinimonas.sediminis	0	155	466	0	153	0	0	0
Paraneptunicella.aestuarii	0	113	237	0	108	0	0	0
Pseudoalteromonas.luteoviolacea	0	215	381	0	216	0	0	168
Ferrimonas.lipolytica	0	115	363	130	186	0	0	125
Vibrio.alginolyticus	0	307	629	0	582	0	0	0
Vibrio.coralliilyticus	0	147	389	189	287	0	0	0
Legionella.sainthelensi	0	1093	1690	0	328	162	0	358
Legionella.longbeachae	0	856	1293	0	241	118	0	297
Legionella.sp..PC1000	0	294	769	0	161	0	0	380
Legionella.sp..PC997	0	204	547	0	0	0	0	163
Legionella.anisa	0	277	868	0	156	0	0	463
Legionella.fallonii	0	193	549	0	120	0	0	128
Legionella.cherrii	0	183	552	0	119	0	0	137
Legionella.antarctica	0	177	456	0	0	0	0	112
Legionella.israelensis	0	157	348	0	127	0	0	154
Legionella.lansingensis	0	147	346	0	0	0	0	0
Legionella.oakridgensis	0	140	284	0	130	0	0	0
Legionella.waltersii	0	121	386	0	0	0	0	0
Legionella.clemsonensis	0	117	260	0	0	0	0	0
Legionella.hackeliae	0	113	328	0	0	0	0	0
Fluoribacter.dumoffii	0	185	616	0	0	0	0	135
Tatlockia.micdadei	0	131	290	0	0	0	0	0
Coxiella.burnetii	0	365	673	169	322	0	0	234
Acinetobacter.pittii	0	484	776	0	0	0	0	659
Aquirhabdus.parva	0	114	321	0	117	0	0	117
Methylophaga.sp..TMB456	0	406	1742	0	386	0	0	164
Methylophaga.nitratireducenticrescens	0	214	490	0	166	0	0	154
Methylophaga.frappieri	0	193	461	0	184	0	0	186
Candidatus.Thiothrix.anitrata	0	166	549	0	216	0	0	187
Haemophilus.parainfluenzae	0	186	447	0	230	188	0	201
Aggregatibacter.actinomycetemcomitans	0	158	421	142	177	0	0	248
Actinobacillus.sp..GY.402	0	203	545	193	254	0	0	0
Pajaroellobacter.abortibovis	0	213	528	140	217	115	0	217
Desulfonema.limicola	0	120	370	0	186	0	0	108
Desulfomarina.profundi	0	157	455	132	208	0	0	131
Candidatus.Desulfofervidus.auxilii	0	152	478	0	269	0	0	140
Bdellovibrio.sp..NC01	0	138	341	118	144	0	0	156
Bdellovibrio.sp..LBG001	0	124	319	0	124	0	0	187
Bdellovibrio.sp..ZAP7	0	172	380	0	179	0	0	0
Paenibacillus.sp..M.152	0	1953	0	0	0	0	0	0
Paenibacillus.sp..lzh.N1	0	1806	1780	0	0	0	0	0
Staphylococcus.xylosus	0	529	850	0	0	0	0	462
Latilactobacillus.sakei	0	6951	373	0	0	0	0	0
Latilactobacillus.curvatus	0	173	190	0	0	0	0	0
Lacticaseibacillus.rhamnosus	0	233	440	230	199	203	0	0
Desulfofarcimen.acetoxidans	0	122	391	0	180	0	0	137
Alkalibacter.sp..ES005	0	110	347	106	166	0	0	114
Koleobacter.methoxysyntrophicus	0	109	344	0	204	0	0	115
Nostoc.sp..ATCC.53789	0	583	1108	413	519	432	0	470
Nostoc.sp..UHCC.0870	0	227	556	0	255	170	0	0
Nostoc.sp..CENA543	0	137	487	0	214	141	0	149
Nostoc.piscinale	0	277	643	256	370	416	0	259
Nostoc.edaphicum	0	195	522	162	250	161	0	240
Nostoc.sphaeroides	0	234	721	220	310	189	0	312
Nostoc.punctiforme	0	216	657	213	279	225	0	0
Nostoc.commune	0	149	374	0	153	0	0	0
Anabaena.sp..WA102	0	852	1193	0	712	0	0	653
Anabaena.cylindrica	0	188	412	0	201	0	0	0
Calothrix.sp..NIES.3974	0	194	539	0	226	117	274	171
Calothrix.sp..PCC.7507	0	208	716	221	317	161	0	207
Calothrix.sp..336.3	0	157	360	0	140	0	0	0
Calothrix.sp..NIES.2098	0	193	672	254	294	223	0	189
Sphaerospermopsis.torques.reginae	0	237	611	191	247	165	0	199
Sphaerospermopsis.kisseleviana	0	165	492	0	262	0	0	182
Nodularia.sphaerocarpa	0	168	457	149	218	0	0	151
Nodularia.spumigena	0	138	381	0	191	0	0	136
Fischerella.sp..NIES.3754	0	234	643	159	194	138	0	224
Fischerella.sp..NIES.4106	0	160	451	148	214	122	0	160
Tolypothrix.sp..PCC.7910	0	196	623	195	234	175	0	210
Pseudanabaena.sp..ABRG5.3	0	109	349	0	156	0	0	0
Crinalium.epipsammum	0	150	433	137	171	137	0	150
Halothece.sp..PCC.7418	0	323	796	0	329	0	0	186
Rippkaea.orientalis	0	128	324	0	147	0	0	122
Geminocystis.herdmanii	0	134	376	0	119	0	0	0
Candidatus.Xiphinematobacter.sp..Idaho.Grape	0	135	293	118	139	0	0	0
Cytophaga.hutchinsonii	0	234	383	110	158	107	0	236
Aquirufa.nivalisilvae	0	122	213	0	0	0	0	0
Leadbetterella.byssophila	0	208	283	0	142	0	0	203
Fulvivirga.sp..SW1.E11	0	195	423	148	219	0	0	206
Fulvivirga.lutea	0	161	260	0	154	0	0	166
Echinicola.sp..SCS.3.6	0	223	353	0	171	0	0	188
Echinicola.sp..20G	0	165	339	0	137	0	0	174
Echinicola.strongylocentroti	0	244	526	161	234	0	0	256
Echinicola.soli	0	188	404	155	164	111	0	202
Algoriphagus.sp..NBT04N3	0	157	281	0	129	0	0	179
Algoriphagus.sanaruensis	0	179	378	0	129	0	0	154
Algoriphagus.machipongonensis	0	153	278	0	118	0	0	130
Cyclobacterium.marinum	0	165	288	0	122	0	0	141
Cyclobacterium.amurskyense	0	133	280	0	0	0	0	145
Aquiflexum.balticum	0	199	381	123	184	0	0	245
Mongoliitalea.daihaiensis	0	139	262	0	122	0	0	163
Belliella.baltica	0	151	307	0	139	0	0	155
Mangrovivirga.cuniculi	0	177	333	0	143	0	0	166
Marivirga.tractuosa	0	175	307	0	137	0	0	183
Arachidicoccus.sp..5GH13.10	0	299	500	185	191	170	138	250
Arachidicoccus.sp..B3.10	0	178	313	0	114	0	0	130
Arachidicoccus.soli	0	244	367	0	136	123	123	170
Flavobacterium.sp..CLA17	0	232	324	0	183	0	0	281
Flavobacterium.sp..MDT1.60	0	246	361	0	195	0	0	276
Flavobacterium.sp..xlx.214	0	159	372	0	0	0	0	242
Flavobacterium.sp..B183	0	179	249	0	0	0	0	0
Flavobacterium.inviolabile	0	163	245	0	0	0	0	223
Flavobacterium.nackdongense	0	140	349	0	0	0	0	0
Flavobacterium.commune	0	153	403	0	321	0	0	192
Flavobacterium.anhuiense	0	230	752	0	530	0	0	412
Flavobacterium.johnsoniae	0	242	396	0	212	0	0	365
Flavobacterium.endoglycinae	0	156	245	0	0	0	0	0
Gramella.sp..GC03.9	0	228	382	0	210	0	0	239
Gramella.fulva	0	194	451	0	151	0	0	225
Gramella.forsetii	0	164	300	0	0	0	0	0
Muricauda.sp..SCSIO.65647	0	135	295	115	177	0	0	137
Muricauda.sp..SCSIO.64092	0	129	276	0	0	0	0	112
Muricauda.aquimarina	0	372	603	409	434	0	0	494
Muricauda.lutaonensis	0	205	405	241	235	0	0	253
Muricauda.oceani	0	279	446	0	280	0	0	261
Capnocytophaga.sputigena	0	287	479	0	279	0	0	0
Myroides.odoratus	0	680	247	0	0	0	0	0
Antarcticibacterium.sp..1MA.6.2	0	202	354	0	158	0	0	314
Antarcticibacterium.flavum	0	194	415	179	0	0	0	259
Antarcticibacterium.arcticum	0	153	313	0	0	0	0	163
Aequorivita.sublithincola	0	238	479	0	0	0	0	0
Salegentibacter.salegens	0	149	261	0	0	0	0	150
Kordia.antarctica	0	126	367	0	214	0	0	150
Zobellia.galactanivorans	0	177	364	0	141	0	0	153
Aggregatimonas.sangjinii	0	128	380	0	160	0	0	130
Zhouia.spongiae	0	175	248	0	0	0	0	183
Euzebyella.marina	0	271	298	0	0	0	0	0
Chryseobacterium.sp..Y16C	0	287	294	0	0	0	0	0
Chryseobacterium.sp..SC2.2	0	219	395	307	0	0	0	0
Chryseobacterium.sp.	0	233	330	0	0	0	0	305
Chryseobacterium.sp..MEBOG07	0	198	166	0	0	0	0	0
Chryseobacterium.sp..IHB.B.17019	0	145	170	0	0	0	0	0
Chryseobacterium.indologenes	0	491	645	393	457	0	0	446
Chryseobacterium.indoltheticum	0	278	299	0	0	0	0	276
Chryseobacterium.arthrosphaerae	0	322	415	0	287	0	0	270
Chryseobacterium.gleum	0	521	448	0	0	0	0	0
Chryseobacterium.taklimakanense	0	252	572	246	260	0	0	338
Chryseobacterium.camelliae	0	243	466	234	243	0	0	328
Chryseobacterium.shandongense	0	272	356	0	0	0	0	532
Chryseobacterium.gallinarum	0	176	236	0	0	0	0	0
Chryseobacterium.balustinum	0	201	171	0	0	0	0	0
Chryseobacterium.nepalense	0	141	167	0	0	0	0	260
Kaistella.sp..97.N.M2	0	148	227	0	0	0	0	0
Epilithonimonas.zeae	0	130	156	0	0	0	0	0
Empedobacter.brevis	0	829	199	0	0	0	0	0
Elizabethkingia.anophelis	0	324	578	0	0	0	0	485
Ornithobacterium.rhinotracheale	0	206	432	0	0	0	0	248
Cruoricaptor.ignavus	0	135	370	163	212	0	0	162
Fluviicola.taffensis	0	239	397	0	0	0	0	371
Owenweeksia.hongkongensis	0	111	192	0	109	0	0	140
Sphingobacterium.sp..DR205	0	1941	535	0	187	0	0	426
Sphingobacterium.sp..CZ.2	0	175	321	0	0	0	0	457
Sphingobacterium.sp..UDSM.2020	0	156	280	0	0	0	0	0
Sphingobacterium.sp..PCS056	0	135	239	0	0	0	0	0
Sphingobacterium.sp..ML3W	0	139	225	0	0	0	0	0
Sphingobacterium.multivorum	0	1894	1249	0	378	0	0	605
Sphingobacterium.lactis	0	352	612	228	254	0	0	319
Sphingobacterium.paramultivorum	0	368	0	0	0	0	0	0
Sphingobacterium.psychroaquaticum	0	214	336	0	127	0	0	175
Sphingobacterium.daejeonense	0	226	231	0	0	0	0	2832
Sphingobacterium.hotanense	0	216	330	0	139	0	0	894
Sphingobacterium.mizutaii	0	168	316	0	0	0	0	983
Mucilaginibacter.sp..F39.2	0	239	459	175	204	142	0	238
Mucilaginibacter.ginkgonis	0	222	401	151	196	148	0	199
Mucilaginibacter.gossypii	0	299	632	181	191	0	0	279
Pedobacter.sp..HDW13	0	279	441	129	188	168	0	235
Pedobacter.sp..PACM.27299	0	217	461	133	154	0	0	263
Pedobacter.sp..KBS0701	0	222	412	157	175	0	0	215
Pedobacter.sp..SW.16	0	200	385	0	123	0	0	185
Pedobacter.sp..D749	0	192	299	0	0	0	0	175
Pedobacter.sp..G11	0	142	311	0	0	0	0	168
Pedobacter.sp..Q8.18	0	126	295	0	0	0	0	112
Pedobacter.schmidteae	0	253	477	155	190	122	0	304
Pedobacter.suwonensis	0	276	442	130	179	0	0	232
Pedobacter.cryoconitis	0	191	368	114	121	0	0	211
Pedobacter.ginsengisoli	0	194	380	0	155	0	0	225
Pedobacter.aquae	0	119	225	0	0	0	0	162
Olivibacter.sp..SDN3	0	254	478	145	154	0	0	199
Solitalea.canadensis	0	272	484	119	163	0	0	206
Solitalea.sp..S2.8	0	170	315	0	139	0	0	156
Pseudopedobacter.saltans	0	360	456	0	204	0	0	314
Bacteroides.stercoris	0	224	432	204	213	0	0	254
Bacteroides.zoogleoformans	0	150	324	142	160	0	0	0
Bacteroides.heparinolyticus	0	137	318	0	151	0	0	0
Bacteroides.salyersiae	0	198	375	0	180	0	0	0
Phocaeicola.coprophilus	0	178	384	0	182	0	0	0
Prevotella.sp..E15.22	0	245	489	0	251	203	0	215
Prevotella.sp..oral.taxon.475	0	124	405	145	194	118	0	114
Prevotella.copri	0	202	505	168	222	141	0	203
Prevotella.ruminicola	0	126	438	157	187	116	0	148
Prevotella.intermedia	0	166	435	159	191	152	0	165
Paraprevotella.xylaniphila	0	209	606	223	237	0	0	242
Parabacteroides.johnsonii	0	190	480	0	215	0	0	0
Proteiniphilum.saccharofermentans	0	159	430	124	142	119	0	153
Paludibacter.propionicigenes	0	118	246	0	0	0	0	0
Draconibacterium.halophilum	0	132	308	0	127	0	0	149
Maribellus.comscasis	0	149	313	110	147	0	0	119
Saprospira.grandis	0	132	311	0	155	0	0	127
Candidatus.Sulfidibacterium.hydrothermale	0	144	345	121	165	103	0	183
Pelodictyon.phaeoclathratiforme	0	131	470	126	203	109	0	133
Ignavibacterium.album	0	112	309	0	163	0	0	126
Dissulfurispira.thermophila	0	138	385	0	184	0	0	106
Sphaerochaeta.coccoides	0	112	373	107	190	0	0	0
Leptospira.santarosai	0	200	357	201	292	0	0	0
Thermosulfidibacter.takaii	0	120	336	119	187	0	0	0
Elusimicrobium.minutum	0	116	277	102	139	0	0	0
Caldisericum.exile	0	104	382	0	142	0	0	107
Streptomyces.sp..ICC1	0	0	10589	0	0	0	0	0
Streptomyces.sp..ICC4	0	0	10027	0	0	0	0	0
Streptomyces.sp..SM17	0	0	5560	0	0	0	0	0
Microbacterium.sp..KUDC0406	0	0	11741	0	0	0	0	0
Microbacterium.sp..PAMC21962	0	0	3929	0	0	0	0	0
Rhodoluna.lacicola	0	0	214	0	0	0	0	0
Candidatus.Aquiluna.sp..UB.MaderosW2red	0	0	308	0	172	0	0	0
Aurantimicrobium.sp..MWH.Uga1	0	0	251	0	0	0	0	0
Aurantimicrobium.minutum	0	0	203	0	140	0	0	0
Arthrobacter.sp..AQ5.05	0	0	2890	0	0	0	0	0
Micrococcus.yunnanensis	0	0	1881	880	806	0	0	0
Rothia.amarae	0	0	740	357	193	0	0	0
Tropheryma.whipplei	0	0	146	0	0	0	0	0
Mycobacterium.sp..MOTT36Y	0	0	1988	0	0	0	0	0
Mycobacterium.pseudoshottsii	0	0	1168	0	0	0	0	0
Rhodococcus.sp..008	0	0	1822	744	0	0	0	0
Rhodococcus.sp..NJ.530	0	0	1493	720	637	0	0	0
Rhodococcus.sp..BH4	0	0	1446	0	0	0	0	0
Rhodococcus.sp..H.CA8f	0	0	1000	538	0	0	0	0
Rhodococcus.sp..C1	0	0	1232	0	0	0	0	0
Corynebacterium.sp..4H37.19	0	0	299	117	155	0	0	0
Corynebacterium.sp..sy039	0	0	117	0	0	0	0	0
Corynebacterium.crudilactis	0	0	526	188	0	0	0	0
Corynebacterium.kutscheri	0	0	153	0	0	0	0	0
Pseudonocardia.sp..EC080610.09	0	0	16606	0	0	0	0	0
Arcanobacterium.phocisimile	0	0	271	0	137	0	0	0
Arcanobacterium.phocae	0	0	221	0	0	0	0	0
Arcanobacterium.sp..2701	0	0	143	0	0	0	0	0
Varibaculum.sp..EMRHCC_39	0	0	462	152	250	167	0	139
Fannyhessea.vaginae	0	0	204	0	0	0	0	0
Bifidobacterium.coryneforme	0	0	309	0	0	0	0	0
Bifidobacterium.indicum	0	0	269	0	0	0	0	0
Gardnerella.vaginalis	0	0	305	0	0	0	0	0
Scardovia.inopinata	0	0	176	0	0	0	0	0
Candidatus.Planktophila.lacus	0	0	324	0	272	0	0	0
Candidatus.Planktophila.versatilis	0	0	296	0	0	0	0	0
Candidatus.Planktophila.sulfonica	0	0	275	0	0	0	0	0
Candidatus.Planktophila.dulcis	0	0	248	0	0	0	0	0
Candidatus.Planktophila.limnetica	0	0	128	0	0	0	0	0
Candidatus.Planktophila.vernalis	0	0	128	0	0	0	0	0
Phoenicibacter.congonensis	0	0	393	0	209	0	0	0
Cryptobacterium.curtum	0	0	301	0	124	0	0	0
Lancefieldella.parvula	0	0	174	0	0	0	0	0
Collinsella.sp..zg1085	0	0	149	0	0	0	0	0
Bacillus.sp..N447.1	0	0	1230	0	0	0	0	0
Bacillus.sp..NP247	0	0	246	0	0	0	0	0
Bacillus.siamensis	0	0	572	0	0	0	0	0
Bacillus.halotolerans	0	0	638	0	0	0	0	0
Bacillus.inaquosorum	0	0	2113	0	0	0	0	0
Bacillus.toyonensis	0	0	1032	0	0	0	0	0
Bacillus.nitratireducens	0	0	291	0	0	0	0	0
Geobacillus.sp..JS12	0	0	643	0	0	0	0	0
Geobacillus.thermoleovorans	0	0	2963	0	0	0	0	0
Geobacillus.thermodenitrificans	0	0	1491	0	0	0	0	0
Lysinibacillus.sp..YS11	0	0	566	0	0	0	0	0
Lysinibacillus.sp..ACHW1.5	0	0	431	0	0	0	0	0
Lysinibacillus.capsici	0	0	332	0	0	0	0	0
Anoxybacillus.sp..PDR2	0	0	886	0	0	0	0	0
Alkalihalobacillus.miscanthi	0	0	357	0	0	0	0	0
Alkalihalobacillus.lehensis	0	0	258	0	0	0	0	346
Virgibacillus.sp..Bac330	0	0	341	0	0	0	0	135
Virgibacillus.dokdonensis	0	0	327	0	0	0	0	0
Salicibibacter.cibi	0	0	407	0	140	0	0	153
Paenibacillus.sp..Cedars	0	0	1098	0	0	0	0	0
Paenibacillus.glucanolyticus	0	0	1447	0	0	0	0	0
Brevibacillus.sp..DP1.3A	0	0	790	0	0	0	0	0
Brevibacillus.sp..HD3.3A	0	0	1156	0	0	0	0	0
Brevibacillus.parabrevis	0	0	950	0	0	0	0	0
Alicyclobacillus.sp..TC	0	0	217	0	119	0	0	0
Planococcus.halocryophilus	0	0	338	0	0	0	0	0
Planococcus.donghaensis	0	0	331	0	0	0	0	0
Planococcus.versutus	0	0	289	0	0	0	0	0
Sporosarcina.sp..resist	0	0	588	0	0	0	0	0
Sporosarcina.pasteurii	0	0	270	0	0	0	0	0
Kurthia.sp..11kri321	0	0	316	0	0	0	0	0
Kurthia.zopfii	0	0	280	0	0	0	0	0
Staphylococcus.pseudoxylosus	0	0	1790	0	0	0	0	0
Staphylococcus.epidermidis	0	0	1080	0	0	0	0	0
